,surgery,Age,rectal temperature,pulse,respiratory rate,temperature of extremities,peripheral pulse,mucous membranes,capillary refill time,pain,peristalsis,abdominal distension,nasogastric tube,nasogastric reflux,nasogastric reflux PH,rectal examination,abdomen,packed cell volume,total protein,abdominocentesis appearance,abdomcentesis total protein,outcome,surgical lesion,cp_data,site of lesion,type,subtype,specific code
0,1.0,1,39.2,88.0,20.0,3.0,1,4,1,3,4,2,2,1.0,6,4,2,50,85.0,2,2.0,2,2,2,2.0,2.0,1,8
1,2.0,1,38.3,40.0,24.0,1.0,1,3,1,3,3,1,2,1.0,6,1,1,33,6.7,2,2.0,1,2,1,0.0,1.0,1,4
2,1.0,2,39.1,164.0,84.0,4.0,1,6,2,2,4,4,1,2.0,5,3,4,48,7.2,3,5.3,2,1,1,2.0,2.0,1,8
3,2.0,1,37.3,104.0,35.0,3.0,1,6,2,3,3,2,2,1.0,6,3,4,74,7.4,2,2.0,2,2,2,4.0,3.0,1,4
4,2.0,1,38.0,60.0,29.0,2.0,1,3,1,2,3,2,2,1.0,6,3,3,42,7.3,2,2.0,1,2,2,0.0,1.0,1,4
5,1.0,1,37.9,48.0,16.0,1.0,1,1,1,3,3,3,1,1.0,6,3,5,37,7.0,2,2.0,1,1,2,3.0,1.0,2,4
6,1.0,1,38.0,60.0,29.0,3.0,1,3,1,3,4,2,2,1.0,6,3,4,44,8.3,2,2.0,2,1,2,2.0,2.0,1,8
7,2.0,1,38.0,80.0,36.0,3.0,4,3,1,4,4,4,2,1.0,6,3,5,38,6.2,2,2.0,2,1,2,3.0,2.0,1,5
8,2.0,2,38.3,90.0,29.0,1.0,1,1,1,5,3,1,2,1.0,6,3,4,40,6.2,1,2.2,1,2,1,0.0,1.0,1,4
9,1.0,1,38.1,66.0,12.0,3.0,3,5,1,3,3,1,2,1.0,3,2,5,44,6.0,2,3.6,1,1,1,2.0,1.0,2,4
10,2.0,1,39.1,72.0,52.0,2.0,1,2,1,2,1,2,1,1.0,6,4,4,50,7.8,2,2.0,1,1,2,2.0,1.0,1,1
11,1.0,1,37.2,42.0,12.0,2.0,1,1,1,3,3,3,3,1.0,6,4,5,42,7.0,2,2.0,1,2,2,4.0,1.0,2,4
12,2.0,2,38.0,92.0,28.0,1.0,1,2,1,1,3,2,3,1.0,7,1,1,37,6.1,1,2.0,2,2,1,0.0,1.0,1,4
